iter	Passed	Remaining
1349	88657	108359
1350	88724	108295
1351	88811	108255
1352	88874	108186
1353	88940	108121
1354	89007	108057
1355	89071	107989
1356	89132	107918
1357	89202	107857
1358	89273	107798
1359	89347	107743
1360	89408	107670
1361	89463	107592
1362	89533	107532
1363	89596	107463
1364	89660	107395
1365	89740	107347
1366	89805	107280
1367	89870	107213
1368	89935	107147
1369	89995	107074
1370	90058	107006
1371	90126	106942
1372	90186	106870
1373	90252	106804
1374	90314	106735
1375	90368	106655
1376	90444	106602
1377	90516	106544
1378	90584	106481
1379	90646	106411
1380	90711	106344
1381	90774	106275
1382	90841	106212
1383	90904	106143
1384	90988	106098
1385	91056	106034
1386	91116	105963
1387	91176	105891
1388	91239	105822
1389	91296	105745
1390	91357	105674
1391	91413	105598
1392	91469	105521
1393	91530	105450
1394	91595	105384
1395	91664	105322
1396	91743	105271
1397	91807	105204
1398	91875	105140
1399	91938	105072
1400	92003	105005
1401	92069	104941
1402	92136	104877
1403	92200	104808
1404	92271	104749
1405	92335	104681
1406	92397	104612
1407	92464	104547
1408	92534	104487
1409	92618	104442
1410	92684	104377
1411	92761	104323
1412	92825	104255
1413	92887	104186
1414	92956	104124
1415	93015	104051
1416	93083	103988
1417	93145	103918
1418	93203	103844
1419	93269	103778
1420	93334	103712
1421	93404	103650
1422	93472	103588
1423	93537	103521
1424	93596	103448
1425	93667	103388
1426	93731	103321
1427	93793	103251
1428	93854	103180
1429	93918	103112
1430	93981	103044
1431	94050	102982
1432	94111	102911
1433	94173	102842
1434	94239	102777
1435	94308	102714
1436	94369	102644
1437	94428	102570
1438	94492	102503
1439	94556	102436
1440	94619	102367
1441	94689	102306
1442	94780	102268
1443	94840	102196
1444	94904	102129
1445	94965	102058
1446	95037	101999
1447	95104	101934
1448	95171	101870
1449	95235	101803
1450	95298	101734
1451	95363	101668
1452	95428	101601
1453	95499	101542
1454	95564	101475
1455	95636	101416
1456	95703	101352
1457	95770	101287
1458	95828	101214
1459	95891	101145
1460	95947	101069
1461	96009	100999
1462	96070	100929
1463	96146	100875
1464	96219	100816
1465	96286	100753
1466	96379	100715
1467	96474	100680
1468	96656	100736
1469	96750	100699
1470	96840	100658
1471	96955	100643
1472	97026	100583
1473	97098	100524
1474	97185	100479
1475	97266	100429
1476	97355	100387
1477	97440	100340
1478	97526	100296
1479	97630	100269
1480	97731	100239
1481	97833	100210
1482	97925	100170
1483	98022	100136
1484	98123	100105
1485	98219	100069
1486	98305	100024
1487	98413	100001
1488	98500	99955
1489	98595	99918
1490	98682	99873
1491	98780	99839
1492	98868	99795
1493	98957	99751
1494	99047	99710
1495	99140	99670
1496	99222	99620
1497	99301	99566
